,start,film,director,actor,link,image,distro,country,trailer,year
0,15.10.2020,Astronaut ,Shelagh McLeod,"Richard Dreyfuss, Lyriq Bent, Krista Bridges, Colm Feore, Richie Lawrence",https://www.kino-zeit.de/node/50228,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/astronaut_3.jpg,JETS Filmverleih & Vertrieb,Kanada,www.youtube.com/watch?v=vLqK4_AWmro,['2019']
1,15.10.2020,Bruno ,Karl Golden,"Diarmaid Murtagh, Woody Norman, Seun Shote, Scarlett Alice Johnson",https://www.kino-zeit.de/node/48854,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/bruno_7_daniel_andizzy_searching_copyrightfilmperlen.jpg,Filmperlen,Großbritannien,www.youtube.com/watch?v=HnPj7LtDAhA,['2019']
2,15.10.2020,Der Bär in mir ,Roman Droux,,https://www.kino-zeit.de/node/50292,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/der_bar_in_mir_2.jpg,MFA + Filmdistribution,Schweiz,couldnt find youtube trailer,['2019']
3,15.10.2020,Der geheime Garten ,Marc Munden,"Colin Firth, Maeve Dermody, Julie Walters, Dixie Egerickx",https://www.kino-zeit.de/node/47584,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/dergeheimegarten_003.jpg,STUDIOCANAL GmbH Filmverleih,"Großbritannien, Frankreich",www.youtube.com/watch?v=ucZlnduCbL0,['2020']
4,18.10.2020,"Goodbye, America ",Sarik Andreasyan,"Lyanka Gryu, Nadezhda Mikhalkova, Vladimir Yaglych",https://www.kino-zeit.de/node/50874,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/goodbyeamerica_filmstill_04.jpg,Kinostar Filmverleih,Russland,www.youtube.com/watch?v=83XgomEylq0,['2020']
5,16.10.2020,I Am Greta ,Nathan Grossman,Greta Thunberg,https://www.kino-zeit.de/node/50550,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/Greta_Biennale.jpg,Filmwelt Verleihagentur,Schweden,www.youtube.com/watch?v=cxi_fi-G8xk,['2020']
6,17.10.2020,Making Montgomery Clift ,"Robert Anderson Clift, Hillary Demmon",,https://www.kino-zeit.de/node/47343,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-08/Making-Montgomery_Clift_filmbild1.jpg,missingFILMs ,USA,www.youtube.com/watch?v=eJtdIcOR2bM,['2018']
7,15.10.2020,Martin Margiela - Mythos der Mode ,Reiner Holzemer,,https://www.kino-zeit.de/node/48816,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/martin_margiela_in_his_own_words_filmstill.jpg,Filmwelt Verleihagentur,"Deutschland, Belgien",www.youtube.com/watch?v=EvrQX4POKtg,['2019']
8,15.10.2020,Moskau Einfach! ,Micha Lewinsky,"Miriam Stein, Oriana Schrage, Urs Jucker, Michael Maertens, Mike Müller",https://www.kino-zeit.de/node/48285,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-12/moskau_einfach_filmbild1.jpg,Arsenal Filmverleih GmbH ,Schweiz,www.youtube.com/watch?v=cbPHUec9x0Q,['2020']
9,15.10.2020,Mrs. Taylor's Singing Club ,Peter Cattaneo,"Kristin Scott Thomas, Sharon Horgan, Emma Lowndes, Amy James-Kelly",https://www.kino-zeit.de/node/48466,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/military-wives-filmbild1.jpg,Leonine,Großbritannien,www.youtube.com/watch?v=JJG1PnZ6VHw,['2019']
10,15.10.2020,Oeconomia ,Carmen Losmann,,https://www.kino-zeit.de/node/48739,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/Oeconomia.jpg,Neue Visionen Filmverleih GmbH,Deutschland,www.youtube.com/watch?v=hsAvWez8qBQ,['2020']
11,15.10.2020,"Rojo - Wenn alle schweigen, ist keiner unschuldig ",Benjámin Naishtat,"Darío Grandinetti, Andrea Frigerio, Alfredo Castro",https://www.kino-zeit.de/node/43353,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2018-08/rojo-filmbild1.jpg,Cine Global Filmverleih,"Argentinien, Deutschland",www.youtube.com/watch?v=4QhqxLA3aH4,['2018']
12,15.10.2020,Sag du es mir ,Michael Fetter Nathansky,"Christina Große, Marc Ben Puch, Gisa Flake, Hendrik Arnst, Patrick Heinrich, Walid Al-Atiyat",https://www.kino-zeit.de/node/48412,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/sagduesmir_filmstill_04.jpg,missingFILMs ,Deutschland,www.youtube.com/watch?v=miCtDoHCpYE,['2019']
13,15.10.2020,Von Liebe und Krieg ,Kasper Torsting,"Tom Wlaschiha, Ulrich Thomsen, Thure Lindhardt, Natalie Madueño, Sebastian Jessen",https://www.kino-zeit.de/node/50268,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/l-u-k.jpg,Tamtam Film,"Dänemark, Deutschland, Tschechische Republik",www.youtube.com/watch?v=t406bUnfYGo,['2018']
